PAIS;ISO3;2021_pop
Algeria;DZA;44616626
Angola;AGO;33933611
Benin;BEN;12451031
Botswana;BWA;2397240
Burkina Faso;BFA;21497097
Burundi;BDI;12255429
Cameroon;CMR;27224262
Canada;CAN;38246108
Central African Republic;CAF;4919987
Chad;TCD;16914985
Comoros;COM;888456
Congo;COD;89561404
Congo;COG;5518092
Cote d'Ivoire;CIV;27053629
Egypt;EGY;102334403
Equatorial Guinea;GNQ;1449891
Eritrea;ERI;
Estonia;EST;1329254
Ethiopia;ETH;117876226
Euro area;EMU;342566541
Europe & Central Asia;ECS;923753699
Europe & Central Asia (excluding high income);ECA;401828885
Europe & Central Asia (IDA & IBRD countries);TEC;462624055
European Union;EUU;446946712
Faroe Islands;FRO;49053
Fiji;FJI;902899
Finland;FIN;5541696
Fragile and conflict affected situations;FCS;982980816
France;FRA;67499343
French Polynesia;PYF;282534
Gabon;GAB;2278829
Gambia;GMB;2416664
Georgia;GEO;3708610
Germany;DEU;83129285
Ghana;GHA;31732128
Gibraltar;GIB;33691
Greece;GRC;10664568
Greenland;GRL;56653
Grenada;GRD;113015
Guam;GUM;170184
Guatemala;GTM;17109746
Guinea;GIN;13497237
Guinea-Bissau;GNB;2015490
Guyana;GUY;790329
Haiti;HTI;11541683
Heavily indebted poor countries (HIPC);HPC;845522272
High income;HIC;1241374277
Honduras;HND;10062994
Hong Kong SAR; China;7481000
Hungary;HUN;9709886
IBRD only;IBD;4895295243
Iceland;ISL;372295
IDA & IBRD total;IBT;6642614110
IDA blend;IDB;586883422
IDA only;IDX;1160435445
IDA total;IDA;1747318867
India;IND;1393409033
Indonesia;IDN;276361788
Iran; Islamic Rep.;83992953
Iraq;IRQ;41179351
Ireland;IRL;5028230
Isle of Man;IMN;85410
Israel;ISR;9364000
Italy;ITA;59066225
Jamaica;JAM;2973462
Japan;JPN;125681593
Jordan;JOR;10269022
Kazakhstan;KAZ;19002586
Kenya;KEN;54985702
Kiribati;KIR;121388
Korea; Rep.;51836239
Korea; Dem. People's Rep.;25778815
Kosovo;XKX;1806279
Kuwait;KWT;4328553
Kyrgyz Republic;KGZ;6694200
Lao PDR;LAO;7379358
Late-demographic dividend;LTE;2322070390
Latin America & Caribbean;LCN;658089208
Latin America & Caribbean (excluding high income);LAC;596217644
Latin America & the Caribbean (IDA & IBRD countries);TLA;642239838
Latvia;LVA;1883162
Least developed countries: UN classification;LDC;1081504804
Lebanon;LBN;6769151
Lesotho;LSO;2159067
Liberia;LBR;5180208
Libya;LBY;6958538
Liechtenstein;LIE;38254
Lithuania;LTU;2795321
Low & middle income;LMY;6566551568
Low income;LIC;701926973
Lower middle income;LMC;3363196656
Luxembourg;LUX;639070
Macao SAR; China;649342
Madagascar;MDG;28427333
Malawi;MWI;19647681
Malaysia;MYS;32776195
Maldives;MDV;543620
Mali;MLI;20855724
Malta;MLT;516869
Marshall Islands;MHL;59618
Mauritania;MRT;4775110
Mauritius;MUS;1266060
Mexico;MEX;130262220
Micronesia; Fed. Sts.;115021
Middle East & North Africa;MEA;472494995
Middle East & North Africa (excluding high income);MNA;403051615
Middle East & North Africa (IDA & IBRD countries);TMN;398128866
Middle income;MIC;5864624595
Moldova;MDA;2573928
Monaco;MCO;39520
Mongolia;MNG;3329282
Montenegro;MNE;620173
Morocco;MAR;37344787
Mozambique;MOZ;32163045
Myanmar;MMR;54806014
Namibia;NAM;2587344
Nauru;NRU;10873
Nepal;NPL;29674920
Netherlands;NLD;17533405
New Caledonia;NCL;272620
New Zealand;NZL;5122600
Nicaragua;NIC;6702379
Niger;NER;25130810
Nigeria;NGA;211400704
North America;NAC;370203720
North Macedonia;MKD;2065092
Northern Mariana Islands;MNP;57910
Norway;NOR;5408320
Not classified;INX;
OECD members;OED;1375820281
Oman;OMN;5223376
Other small states;OSS;32464282
Pacific island small states;PSS;2566494
Pakistan;PAK;225199929
Palau;PLW;18174
Panama;PAN;4381583
Papua New Guinea;PNG;9119005
Paraguay;PRY;7219641
Peru;PER;33359416
Philippines;PHL;111046910
Poland;POL;37781024
Portugal;PRT;10299423
Post-demographic dividend;PST;1116655196
Pre-demographic dividend;PRE;997158227
Puerto Rico;PRI;3263584
Qatar;QAT;2930524
Romania;ROU;19115146
Russian Federation;RUS;143446060
Rwanda;RWA;13276517
Samoa;WSM;200144
San Marino;SMR;34010
Sao Tome and Principe;STP;223364
Saudi Arabia;SAU;35340680
Senegal;SEN;17196308
Serbia;SRB;6844078
Seychelles;SYC;99202
Sierra Leone;SLE;8141343
Singapore;SGP;5453566
Sint Maarten (Dutch part);SXM;42846
Slovak Republic;SVK;5447247
Slovenia;SVN;2107007
Small states;SST;42512407
Solomon Islands;SLB;703995
Somalia;SOM;16359500
South Africa;ZAF;60041996
South Asia;SAS;1877902324
South Asia (IDA & IBRD);TSA;1877902324
South Sudan;SSD;11381377
Spain;ESP;47326687
Sri Lanka;LKA;22156000
St. Kitts and Nevis;KNA;53546
St. Lucia;LCA;184401
St. Martin (French part);MAF;39239
St. Vincent and the Grenadines;VCT;111269
Sub-Saharan Africa;SSF;1165563987
Sub-Saharan Africa (excluding high income);SSA;1165464785
Sub-Saharan Africa (IDA & IBRD countries);TSS;1165563987
Sudan;SDN;44909351
Suriname;SUR;591798
Swaziland;SWZ;1172369
Sweden;SWE;10415811
Switzerland;CHE;8697723
Syrian Arab Republic;SYR;18275704
Tajikistan;TJK;9749625
Tanzania;TZA;61498438
Thailand;THA;69950844
Timor-Leste;TLS;1343875
Togo;TGO;8478242
Tonga;TON;106759
Trinidad and Tobago;TTO;1403374
Tunisia;TUN;11935764
Turkiye;TUR;85042736
Turkmenistan;TKM;6117933
Turks and Caicos Islands;TCA;39226
Tuvalu;TUV;11925
Uganda;UGA;47123533
Ukraine;UKR;43814581
United Kingdom;GBR;67326569
United States;USA;331893745
Upper middle income;UMC;2501427939
Uruguay;URY;3485152
Uzbekistan;UZB;34915100
Vanuatu;VUT;314464
Venezuela; RB;28435943
Vietnam;VNM;98168829
Virgin Islands (U.S.);VIR;105870
West Bank and Gaza;PSE;4922749
World;WLD;7836630792
Yemen; Rep.;29825968
Zambia;ZMB;18920657
Zimbabwe;ZWE;15092171
